bug_id,title,reporter_username,fixer_username
275435,Memory tool should only be applied to sonnet models which enable it,lramos15,bhavyaus
275424,Copilot CLI: Pending Edit Session after session ends,rebornix,rebornix
275399,"""Try again"" maybe doesn't work with thinking?",roblourens,bhavyaus
275394,`target` codicon doesn't feel right for 'checked out',joshspicer,mrleemurray
275388,`chatTerminalToolProgressPart.ts` —  Trying to add a disposable to a DisposableStore,mjbvz,meganrogge
275385,Missing icons from `kind`,joshspicer,meganrogge
275382,/savePrompt often refuses to create prompts in ask mode,mjbvz,aeschli
275363,`/savePrompt` with no conversation history invented a topic,mjbvz,aeschli
275361,"Chat terminal widget - ""Show Output"" disappears and expanded/collapsed state stuck after closing terminal",jruales,meganrogge
275351,Chat context custom hover blocks chat list view scrolling,rebornix,Tyriar
275340,Searching for a hidden advanced setting is case sensitive,sbatten,sandy081
275337,Multi-select in settings editor filters doesn't make sense,sbatten,sandy081
275335,in-workspace file write blocked for being outside of workspace,amunger,Tyriar
275330,[Nitpick] Add copy button to hover messages: Accessibility Improvements,pwang347,benvillalobos
275326,[Nitpick] Add copy button to hover messages: Cursor hover style should use `cursor: pointer;`,pwang347,benvillalobos
275323,Agent sessions single view: checkout PR fails,osortega,osortega
275321,[Nitpick] Go To Line command: Recommended Text Updates,pwang347,dmitrivMS
275320,Agent sessions single view: clicking on PR number opens session and PR description,osortega,bpasero
275304,"Thinking comes in, but completed thinking can't be expanded to see full thinking?",TylerLeonhardt,bhavyaus
275279,Chat terminal count doesn't refresh automatically for chat editors,mjbvz,meganrogge
275264,Show focus terminal action as soon as command executes,meganrogge,meganrogge
275258,Extension info can be selected as context but is invalid,kycutler,benvillalobos
275250,Inline Chat: Unexpected Undo keybinding behavior,bamurtaugh,jrieken
275245,Agent Sessions single view: description row font,rebornix,bpasero
275240,Agent Sessions single view: new codex editor doesn't work,rebornix,bpasero
275237,Agent Sessions single view: icons on the right make entries hard to visually scan,rebornix,bpasero
275233,Chat approvals are not screen reader accessible,meganrogge,connor4312
275227,There should be a reset tool approvals action in the picker,meganrogge,connor4312
275226,Cloud agent hangs when 'half' signed into copilot,joshspicer,joshspicer
275214,Inline Chat: `Continue in Chat` didn't bring prompt into panel,bamurtaugh,bhavyaus
275211,Inline chat: Phrasing of modal when moving to panel chat,bamurtaugh,jrieken
275208,Wrong prompt used for Sonnet 4.5 in BYOK,roblourens,bhavyaus
275199,"incorrect agent in "".md"" shows no warning",eleanorjboyd,aeschli
275179,"""Thinking"" on Sonnet 3.7 does not appear to stream in",connor4312,bhavyaus
275177,"Gettting error ""Cannot read properties of undefined (reading 'bind')"" when using CoPilot",mel-habip,roblourens
275173,Input has very bright background on other themes,Tyriar,jrieken
275160,Unclear what the add models button does,lramos15,sandy081
275162,Open PR from external link: Does not find folder of recently opened repo,aeschli,alexr00
275141,"When two terminal commands are attached, clicking on chat pill does not switch to second terminal",aiday-mar,meganrogge
275140,attach to chat sometimes does not work,meganrogge,meganrogge
275135,Selection mode options sometimes do not show,aiday-mar,lszomoru
275752,Copilot Chat extension is missing `dist/suggestionsPanelWebview.js`,dbaeumer,dbaeumer
275115,Model hover has bottom padding,Tyriar,Tyriar
275110,"Path to save at is guessed incorrectly when using ""Create: New File..."" command and picking jupyter notebook",ulugbekna,amunger
275099,Cannot press `Escape` to close this suggest widget,bpasero,sandy081
275092,Rename manage models editor,bpasero,sandy081
275089,SCM Graph not refreshing - TypeError: Cannot read properties of undefined (reading 'inputSwimlanes'),gjsjohnmurray,lszomoru
